match_id;match_date;kick_off;home_score;away_score;match_week;competition_competition_id;competition_country_name;competition_competition_name;season_season_id;season_season_name;home_team_home_team_id;home_team_home_team_name;home_team_home_team_gender;home_team_home_team_group;home_team_managers;home_team_country_id;home_team_country_name;away_team_away_team_id;away_team_away_team_name;away_team_away_team_gender;away_team_away_team_group;away_team_managers;away_team_country_id;away_team_country_name;competition_stage_id;competition_stage_name;stadium_id;stadium_name;stadium_country_id;stadium_country_name;referee_id;referee_name;referee_country_id;referee_country_name
3795108;2021-07-02;18:00:00.000;1;1;5;55;Europe;UEFA Euro;43;2020;773;Switzerland;male;;[{'id': 492, 'name': 'Vladimir Petković', 'nickname': None, 'dob': '1963-08-15', 'country': {'id': 28, 'name': 'Bosnia and Herzegovina'}}];221;Switzerland;772;Spain;male;;[{'id': 793, 'name': 'Luis Enrique Martínez García', 'nickname': 'Luis Enrique', 'dob': '1970-05-08', 'country': {'id': 214, 'name': 'Spain'}}];214;Spain;11;Quarter-finals;4726;Saint-Petersburg Stadium;188;Russia;1;Michael Oliver;68;England
3788769;2021-06-21;21:00:00.000;1;4;3;55;Europe;UEFA Euro;43;2020;796;Russia;male;B;[{'id': 365, 'name': 'Stanislav Cherchesov', 'nickname': None, 'dob': '1963-09-02', 'country': {'id': 188, 'name': 'Russia'}}];188;Russia;776;Denmark;male;B;[{'id': 255, 'name': 'Kasper Hjulmand', 'nickname': None, 'dob': '1972-04-09', 'country': {'id': 61, 'name': 'Denmark'}}];61;Denmark;10;Group Stage;495;Parken;61;Denmark;76;Clément Turpin;78;France
3788766;2021-06-20;18:00:00.000;1;0;3;55;Europe;UEFA Euro;43;2020;914;Italy;male;A;[{'id': 2997, 'name': 'Roberto Mancini', 'nickname': None, 'dob': '1964-11-27', 'country': {'id': 112, 'name': 'Italy'}}];112;Italy;907;Wales;male;A;[{'id': 1000471, 'name': 'Robert Page', 'nickname': None, 'dob': '1974-09-03', 'country': {'id': 249, 'name': 'Wales'}}];249;Wales;10;Group Stage;381;Estadio Olímpico;112;Italy;448;Ovidiu Alin Hațegan;187;Romania
3795220;2021-07-06;21:00:00.000;1;1;6;55;Europe;UEFA Euro;43;2020;914;Italy;male;;[{'id': 2997, 'name': 'Roberto Mancini', 'nickname': None, 'dob': '1964-11-27', 'country': {'id': 112, 'name': 'Italy'}}];112;Italy;772;Spain;male;;[{'id': 793, 'name': 'Luis Enrique Martínez García', 'nickname': 'Luis Enrique', 'dob': '1970-05-08', 'country': {'id': 214, 'name': 'Spain'}}];214;Spain;15;Semi-finals;4666;Wembley Stadium;68;England;186;Felix Brych;85;Germany
3788761;2021-06-18;15:00:00.000;1;0;2;55;Europe;UEFA Euro;43;2020;790;Sweden;male;E;[{'id': 549, 'name': 'Jan Olof Andersson', 'nickname': None, 'dob': '1962-09-29', 'country': {'id': 220, 'name': 'Sweden'}}];220;Sweden;908;Slovakia;male;E;[{'id': 5363, 'name': 'Štefan Tarkovič', 'nickname': None, 'dob': '1973-02-18', 'country': {'id': 207, 'name': 'Slovakia'}}];207;Slovakia;10;Group Stage;4726;Saint-Petersburg Stadium;188;Russia;225;Daniel Siebert;85;Germany
3788764;2021-06-19;18:00:00.000;2;4;2;55;Europe;UEFA Euro;43;2020;780;Portugal;male;Group F;[{'id': 607, 'name': 'Fernando Manuel Fernandes da Costa Santos', 'nickname': 'Fernando Santos', 'dob': '1954-10-10', 'country': {'id': 183, 'name': 'Portugal'}}];183;Portugal;770;Germany;male;Group F;[{'id': 602, 'name': 'Joachim Löw', 'nickname': None, 'dob': '1960-02-03', 'country': {'id': 85, 'name': 'Germany'}}];85;Germany;10;Group Stage;4867;Allianz Arena;85;Germany;8;Anthony Taylor;68;England
3788773;2021-06-23;21:00:00.000;2;2;3;55;Europe;UEFA Euro;43;2020;780;Portugal;male;F;[{'id': 607, 'name': 'Fernando Manuel Fernandes da Costa Santos', 'nickname': 'Fernando Santos', 'dob': '1954-10-10', 'country': {'id': 183, 'name': 'Portugal'}}];183;Portugal;771;France;male;F;[{'id': 545, 'name': 'Didier Deschamps', 'nickname': None, 'dob': '1968-10-15', 'country': {'id': 78, 'name': 'France'}}];78;France;10;Group Stage;116551;Puskás Aréna;103;Hungary;180;Antonio Miguel Mateu Lahoz;214;Spain
3788755;2021-06-16;18:00:00.000;0;2;2;55;Europe;UEFA Euro;43;2020;909;Turkey;male;A;[{'id': 701, 'name': 'Şenol Güneş', 'nickname': None, 'dob': '1952-06-01', 'country': {'id': 233, 'name': 'Turkey'}}];233;Turkey;907;Wales;male;A;[{'id': 1000471, 'name': 'Robert Page', 'nickname': None, 'dob': '1974-09-03', 'country': {'id': 249, 'name': 'Wales'}}];249;Wales;10;Group Stage;4549;Bakı Olimpiya Stadionu;16;Azerbaijan;2445;Artur Manuel Ribeiro Soares Dias;183;Portugal
3788754;2021-06-16;21:00:00.000;3;0;2;55;Europe;UEFA Euro;43;2020;914;Italy;male;A;[{'id': 2997, 'name': 'Roberto Mancini', 'nickname': None, 'dob': '1964-11-27', 'country': {'id': 112, 'name': 'Italy'}}];112;Italy;773;Switzerland;male;A;[{'id': 492, 'name': 'Vladimir Petković', 'nickname': None, 'dob': '1963-08-15', 'country': {'id': 28, 'name': 'Bosnia and Herzegovina'}}];221;Switzerland;10;Group Stage;381;Estadio Olímpico;112;Italy;725;Sergey Karasev;188;Russia
3788762;2021-06-19;21:00:00.000;1;1;2;55;Europe;UEFA Euro;43;2020;772;Spain;male;Group E;[{'id': 793, 'name': 'Luis Enrique Martínez García', 'nickname': 'Luis Enrique', 'dob': '1970-05-08', 'country': {'id': 214, 'name': 'Spain'}}];214;Spain;789;Poland;male;Group E;[{'id': 1798, 'name': 'Paulo Manuel Carvalho de Sousa', 'nickname': 'Paulo Sousa', 'dob': '1970-08-30', 'country': {'id': 183, 'name': 'Portugal'}}];182;Poland;10;Group Stage;117374;Estadio de La Cartuja;214;Spain;269;Daniele Orsato;112;Italy
3788760;2021-06-18;18:00:00.000;1;1;2;55;Europe;UEFA Euro;43;2020;785;Croatia;male;D;[{'id': 307, 'name': 'Zlatko Dalić', 'nickname': None, 'dob': '1966-10-26', 'country': {'id': 56, 'name': 'Croatia'}}];56;Croatia;912;Czech Republic;male;D;[{'id': 183, 'name': 'Jaroslav Šilhavý', 'nickname': None, 'dob': '1961-11-03', 'country': {'id': 60, 'name': 'Czech Republic'}}];60;Czech Republic;10;Group Stage;52986;Hampden Park;201;Scotland;2728;Carlos del Cerro Grande;214;Spain
3788747;2021-06-13;18:00:00.000;3;1;1;55;Europe;UEFA Euro;43;2020;915;Austria;male;Group C;[{'id': 4061, 'name': 'Franco Foda', 'nickname': None, 'dob': '1966-04-23', 'country': {'id': 85, 'name': 'Germany'}}];15;Austria;2358;North Macedonia;male;Group C;[{'id': 4172, 'name': 'Igor Angelovski', 'nickname': None, 'dob': '1976-06-02', 'country': {'id': 135, 'name': 'Macedonia, Republic of'}}];135;Macedonia, Republic of;10;Group Stage;4365;Arena Naţională;187;Romania;591;Lars Christian Andreas Ekberg;220;Sweden
3788741;2021-06-11;21:00:00.000;0;3;1;55;Europe;UEFA Euro;43;2020;909;Turkey;male;A;[{'id': 701, 'name': 'Şenol Güneş', 'nickname': None, 'dob': '1952-06-01', 'country': {'id': 233, 'name': 'Turkey'}}];233;Turkey;914;Italy;male;A;[{'id': 2997, 'name': 'Roberto Mancini', 'nickname': None, 'dob': '1964-11-27', 'country': {'id': 112, 'name': 'Italy'}}];112;Italy;10;Group Stage;381;Estadio Olímpico;112;Italy;293;Danny Desmond Makkelie;160;Netherlands
3795109;2021-07-03;18:00:00.000;1;2;5;55;Europe;UEFA Euro;43;2020;912;Czech Republic;male;;[{'id': 183, 'name': 'Jaroslav Šilhavý', 'nickname': None, 'dob': '1961-11-03', 'country': {'id': 60, 'name': 'Czech Republic'}}];60;Czech Republic;776;Denmark;male;;[{'id': 255, 'name': 'Kasper Hjulmand', 'nickname': None, 'dob': '1972-04-09', 'country': {'id': 61, 'name': 'Denmark'}}];61;Denmark;11;Quarter-finals;4549;Bakı Olimpiya Stadionu;16;Azerbaijan;287;Björn Kuipers;160;Netherlands
3795187;2021-07-03;21:00:00.000;0;4;5;55;Europe;UEFA Euro;43;2020;911;Ukraine;male;;[{'id': 2303, 'name': 'Andrii Shevchenko', 'nickname': None, 'dob': '1976-09-29', 'country': {'id': 238, 'name': 'Ukraine'}}];238;Ukraine;768;England;male;;[{'id': 277, 'name': 'Gareth Southgate', 'nickname': None, 'dob': '1970-09-03', 'country': {'id': 68, 'name': 'England'}}];68;England;11;Quarter-finals;381;Estadio Olímpico;112;Italy;186;Felix Brych;85;Germany
3788770;2021-06-21;18:00:00.000;0;3;3;55;Europe;UEFA Euro;43;2020;2358;North Macedonia;male;C;[{'id': 4172, 'name': 'Igor Angelovski', 'nickname': None, 'dob': '1976-06-02', 'country': {'id': 135, 'name': 'Macedonia, Republic of'}}];135;Macedonia, Republic of;941;Netherlands;male;C;[{'id': 686, 'name': 'Frank de Boer', 'nickname': None, 'dob': '1970-05-15', 'country': {'id': 160, 'name': 'Netherlands'}}];160;Netherlands;10;Group Stage;4815;Johan Cruijff Arena (Amsterdam);160;Netherlands;583;Istvan Kovacs;187;Romania
3795506;2021-07-11;21:00:00.000;1;1;7;55;Europe;UEFA Euro;43;2020;914;Italy;male;;[{'id': 2997, 'name': 'Roberto Mancini', 'nickname': None, 'dob': '1964-11-27', 'country': {'id': 112, 'name': 'Italy'}}];112;Italy;768;England;male;;[{'id': 277, 'name': 'Gareth Southgate', 'nickname': None, 'dob': '1970-09-03', 'country': {'id': 68, 'name': 'England'}}];68;England;26;Final;4666;Wembley Stadium;68;England;287;Björn Kuipers;160;Netherlands
3794688;2021-06-29;18:00:00.000;2;0;4;55;Europe;UEFA Euro;43;2020;768;England;male;;[{'id': 277, 'name': 'Gareth Southgate', 'nickname': None, 'dob': '1970-09-03', 'country': {'id': 68, 'name': 'England'}}];68;England;770;Germany;male;;[{'id': 602, 'name': 'Joachim Löw', 'nickname': None, 'dob': '1960-02-03', 'country': {'id': 85, 'name': 'Germany'}}];85;Germany;33;Round of 16;4666;Wembley Stadium;68;England;293;Danny Desmond Makkelie;160;Netherlands
3794692;2021-06-29;21:00:00.000;1;2;4;55;Europe;UEFA Euro;43;2020;790;Sweden;male;;[{'id': 549, 'name': 'Jan Olof Andersson', 'nickname': None, 'dob': '1962-09-29', 'country': {'id': 220, 'name': 'Sweden'}}];220;Sweden;911;Ukraine;male;;[{'id': 2303, 'name': 'Andrii Shevchenko', 'nickname': None, 'dob': '1976-09-29', 'country': {'id': 238, 'name': 'Ukraine'}}];238;Ukraine;33;Round of 16;52986;Hampden Park;201;Scotland;269;Daniele Orsato;112;Italy
3794686;2021-06-28;18:00:00.000;3;5;4;55;Europe;UEFA Euro;43;2020;785;Croatia;male;;[{'id': 307, 'name': 'Zlatko Dalić', 'nickname': None, 'dob': '1966-10-26', 'country': {'id': 56, 'name': 'Croatia'}}];56;Croatia;772;Spain;male;;[{'id': 793, 'name': 'Luis Enrique Martínez García', 'nickname': 'Luis Enrique', 'dob': '1970-05-08', 'country': {'id': 214, 'name': 'Spain'}}];214;Spain;33;Round of 16;495;Parken;61;Denmark;581;Cüneyt Çakιr;233;Turkey
3794687;2021-06-27;21:00:00.000;1;0;4;55;Europe;UEFA Euro;43;2020;782;Belgium;male;;[{'id': 263, 'name': 'Roberto Martínez Montoliú', 'nickname': 'Roberto Martínez', 'dob': '1973-07-13', 'country': {'id': 214, 'name': 'Spain'}}];22;Belgium;780;Portugal;male;;[{'id': 607, 'name': 'Fernando Manuel Fernandes da Costa Santos', 'nickname': 'Fernando Santos', 'dob': '1954-10-10', 'country': {'id': 183, 'name': 'Portugal'}}];183;Portugal;33;Round of 16;117374;Estadio de La Cartuja;214;Spain;186;Felix Brych;85;Germany
